tick,coll,coll_factor
2017-12-19,3.075711772,0
2017-12-20,2.635811644,1
2017-12-21,2.666871386,1
2017-12-22,2.475466513,2
2017-12-23,2.908822831,0
2017-12-24,2.650469373,1
2017-12-25,2.903014074,0
2017-12-26,2.930840702,0
2017-12-27,2.980364251,0
2017-12-28,3.144768185,0
2017-12-29,3.355084549,0
2017-12-30,3.266002732,0
2017-12-31,3.212247379,0
2018-01-01,3.345961109,0
2018-01-02,3.734835442,0
2018-01-03,3.827831391,0
2018-01-04,3.947065424,0
2018-01-05,4.109627288,0
2018-01-06,4.119800436,0
2018-01-07,4.371185965,0
2018-01-08,4.64194184,0
2018-01-09,4.874165776,0
2018-01-10,5.302760218,0
2018-01-11,4.844078075,0
2018-01-12,4.62143322,0
2018-01-13,4.713735096,0
2018-01-14,4.678331684,0
2018-01-15,4.617851492,0
2018-01-16,3.934804555,0
2018-01-17,3.559781715,0
2018-01-18,4.110137292,0
2018-01-19,4.005584866,0
2018-01-20,4.232974999,0
2018-01-21,3.999963612,0
2018-01-22,3.79254,0
2018-01-23,3.747010544,0
2018-01-24,3.841699088,0
2018-01-25,4.054904508,0
2018-01-26,4.121958907,0
2018-01-27,4.232594266,0
2018-01-28,4.623950329,0
2018-01-29,4.577799947,0
2018-01-30,4.269247435,0
2018-01-31,4.056526362,0
2018-02-01,4.004311491,0
2018-02-02,3.496169772,0
2018-02-03,3.659217615,0
2018-02-04,3.46635637,0
2018-02-05,3.151861057,0
2018-02-06,3.299377619,0
2018-02-07,3.888574096,0
2018-02-08,3.848765986,0
2018-02-09,3.649858665,0
2018-02-10,3.799464532,0
2018-02-11,3.595392905,0
2018-02-12,3.723660026,0
2018-02-13,3.681459123,0
2018-02-14,3.839205342,0
2018-02-15,3.867086646,0
2018-02-16,3.837560684,0
2018-02-17,3.956721218,0
2018-02-18,3.847976442,0
2018-02-19,3.787499842,0
2018-02-20,3.772584137,0
2018-02-21,3.462539523,0
2018-02-22,3.351498698,0
2018-02-23,3.419404784,0
2018-02-24,3.329975998,0
2018-02-25,3.300048121,0
2018-02-26,3.370588013,0
2018-02-27,3.496759239,0
2018-02-28,3.445601642,0
2018-03-01,3.36121741,0
2018-03-02,3.325361052,0
2018-03-03,3.311093151,0
2018-03-04,3.258388522,0
2018-03-05,3.322998535,0
2018-03-06,3.262678494,0
2018-03-07,3.07256764,0
2018-03-08,2.997770276,0
2018-03-09,2.693497381,1
2018-03-10,2.806210761,0
2018-03-11,2.726103334,1
2018-03-12,2.764170224,1
2018-03-13,2.683987648,1
2018-03-14,2.579778772,1
2018-03-15,2.472244776,2
2018-03-16,2.534464617,1
2018-03-17,2.449466658,2
2018-03-18,2.445951263,2
2018-03-19,2.930913441,0
2018-03-20,2.950169325,0
2018-03-21,3.065123269,0
